Date,Temp_Mean,Temp_Min,Temp_Max,Apparent_Temp,Humidity,Wind_Speed,Pressure,Visibility,Year,Month,Season
2005-12-31,0.5777777777777773,0.5777777777777773,0.5777777777777773,-4.05,0.89,17.114300000000004,1016.66,9.982,2005,12,Winter
2006-01-01,4.075,1.161111111111113,7.438888888888889,-0.17453703703703724,0.8170833333333333,21.22919166666667,1011.985,11.3484875,2006,1,Winter
2006-01-02,5.263194444444444,1.6944444444444429,7.505555555555554,1.8087962962962967,0.8470833333333334,17.8247125,1010.3841666666667,8.492079166666668,2006,1,Winter
2006-01-03,2.34050925925926,1.6666666666666667,2.8999999999999995,0.4453703703703702,0.8970833333333333,7.726658333333333,1021.1708333333332,9.223958333333334,2006,1,Winter
2006-01-04,2.2518518518518524,1.6666666666666667,2.811111111111112,-0.6631944444444442,0.9066666666666667,12.152816666666666,1022.7845833333334,8.352545833333334,2006,1,Winter
2006-01-05,2.703935185185186,1.161111111111113,3.938888888888891,0.4458333333333336,0.95125,8.991179166666667,1017.90125,4.308091666666667,2006,1,Winter
2006-01-06,2.5504629629629636,2.2222222222222223,2.82777777777778,1.2312500000000004,0.9458333333333333,5.7295875,1023.6458333333334,4.635458333333333,2006,1,Winter
2006-01-07,0.8770833333333333,-1.0166666666666655,2.2666666666666657,-0.7497685185185182,0.9358333333333334,6.589595833333334,1030.2237499999999,4.585816666666667,2006,1,Winter
2006-01-08,-1.2317129629629633,-4.933333333333333,2.683333333333332,-2.8050925925925925,0.86875,5.397525000000001,1035.48125,8.694670833333333,2006,1,Winter
2006-01-09,-1.693287037037037,-6.205555555555557,2.294444444444446,-2.8400462962962965,0.7925,5.1137625,1034.5425,8.891225,2006,1,Winter
2006-01-10,-0.5326388888888888,-2.8888888888888884,2.92777777777778,-0.7606481481481482,0.8145833333333333,3.779475,1028.8320833333335,7.562304166666667,2006,1,Winter
2006-01-11,-1.392361111111111,-4.761111111111111,1.2055555555555566,-2.270601851851852,0.89875,5.115775,1032.3708333333334,3.745933333333334,2006,1,Winter
2006-01-12,-0.34189814814814795,-1.5722222222222213,1.183333333333335,-1.140509259259259,0.8841666666666667,4.613991666666667,1035.07625,4.045125,2006,1,Winter
2006-01-13,-0.3571759259259253,-1.1055555555555547,0.2500000000000015,-2.362731481481481,0.9237500000000001,6.6110625,1037.4929166666666,2.6061875000000003,2006,1,Winter
2006-01-14,-1.1347222222222222,-4.3277777777777775,-0.0888888888888889,-3.4120370370370368,0.8937499999999999,6.8284125,1037.0654166666666,5.526995833333334,2006,1,Winter
2006-01-15,-3.135648148148148,-5.322222222222221,-2.0111111111111115,-5.774074074074075,0.8575,7.3382458333333345,1036.4783333333332,7.837345833333334,2006,1,Winter
2006-01-16,-3.639814814814814,-4.3277777777777775,-2.755555555555556,-3.639814814814814,0.8183333333333334,2.543129166666667,1031.5133333333333,9.799533333333335,2006,1,Winter
2006-01-17,-3.7761574074074074,-4.905555555555555,-2.144444444444444,-8.27037037037037,0.8954166666666667,12.578125,1024.19,5.362641666666668,2006,1,Winter
2006-01-18,1.9729166666666667,-0.5999999999999991,3.888888888888889,-1.3240740740740742,0.9275000000000001,12.553975000000001,1007.4770833333333,6.258204166666666,2006,1,Winter
2006-01-19,-1.2391203703703706,-5.444444444444445,2.2666666666666657,-6.084722222222222,0.7941666666666666,17.628829166666666,1019.7545833333334,11.276708333333334,2006,1,Winter
2006-01-20,-2.145601851851852,-5.488888888888888,0.1555555555555562,-4.600925925925925,0.8312499999999999,7.944679166666667,1026.86375,10.983554166666666,2006,1,Winter
2006-01-21,0.7363425925925923,-2.727777777777778,6.199999999999998,-1.4888888888888887,0.8604166666666666,7.846737500000001,1020.5500000000001,9.97395,2006,1,Winter
2006-01-22,-2.965509259259259,-11.533333333333331,2.205555555555555,-8.841435185185185,0.8020833333333334,20.473833333333335,1024.99125,11.066066666666666,2006,1,Winter
2006-01-23,-11.469444444444443,-12.733333333333334,-10.0,-18.281944444444445,0.6816666666666666,15.694145833333335,1038.81375,12.421149999999999,2006,1,Winter
2006-01-24,-10.83472222222222,-14.033333333333331,-7.127777777777776,-12.575925925925924,0.7816666666666667,4.704554166666667,1043.5145833333333,11.112354166666668,2006,1,Winter
2006-01-25,-9.775462962962964,-14.088888888888889,-4.949999999999999,-11.40486111111111,0.7845833333333333,4.5985625,1033.6266666666668,8.248566666666667,2006,1,Winter
2006-01-26,-7.934722222222223,-12.377777777777778,-2.783333333333334,-12.077083333333334,0.7075,9.180354166666667,1028.1845833333334,10.9218375,2006,1,Winter
2006-01-27,-6.629166666666666,-13.544444444444444,-0.1611111111111106,-8.997685185185185,0.6887500000000001,6.3823083333333335,1031.5804166666667,9.570779166666666,2006,1,Winter
2006-01-28,-3.4930555555555554,-10.072222222222225,0.1111111111111126,-4.881481481481481,0.7158333333333333,5.2714083333333335,1031.7954166666666,8.2432,2006,1,Winter
2006-01-29,0.48402777777777795,-2.6333333333333324,5.166666666666665,-2.18425925925926,0.6808333333333333,8.847620833333334,1031.14375,7.895708333333334,2006,1,Winter
2006-01-30,-0.11712962962962947,-1.722222222222223,1.15,-1.5138888888888886,0.78375,5.685983333333334,1029.2675,6.829083333333334,2006,1,Winter
2006-01-31,-1.432175925925926,-2.4000000000000004,-0.0055555555555564,-4.195601851851852,0.8845833333333334,8.744312500000001,1023.7208333333333,4.8964125,2006,1,Winter
2006-02-01,-1.9511574074074074,-2.7444444444444454,-0.0333333333333326,-3.985648148148148,0.8641666666666666,6.619783333333334,1024.91375,5.037958333333333,2006,2,Winter
2006-02-02,-3.4657407407407406,-4.861111111111111,-2.7999999999999994,-5.094212962962962,0.9141666666666667,5.485404166666666,1020.4925,2.797375,2006,2,Winter
2006-02-03,-3.4025462962962956,-4.883333333333333,-2.244444444444444,-4.517592592592592,0.7912500000000001,3.9210208333333334,1019.5541666666667,5.284154166666667,2006,2,Winter
2006-02-04,-3.7203703703703703,-4.855555555555554,-2.7999999999999994,-6.902314814814814,0.8095833333333333,7.9258958333333345,1022.59125,4.495925000000001,2006,2,Winter
2006-02-05,-5.609953703703703,-8.77222222222222,-2.116666666666666,-10.66111111111111,0.6979166666666666,14.9951375,1027.5525,8.887870833333332,2006,2,Winter
2006-02-06,-7.019907407407408,-11.083333333333334,-2.2222222222222223,-12.766435185185186,0.6679166666666667,15.305733333333334,1026.9424999999999,11.863016666666667,2006,2,Winter
2006-02-07,-5.681712962962963,-13.927777777777775,-1.0888888888888897,-9.753935185185187,0.6454166666666666,12.839079166666666,1022.2595833333334,10.632037500000001,2006,2,Winter
2006-02-08,-1.7069444444444442,-4.355555555555556,0.0944444444444453,-5.58287037037037,0.9029166666666667,11.182791666666667,1011.0233333333334,6.056283333333334,2006,2,Winter
2006-02-09,-1.2187500000000002,-2.9611111111111104,2.2666666666666657,-4.547916666666667,0.9316666666666666,9.786116666666667,1007.1333333333333,2.4941583333333335,2006,2,Winter
2006-02-10,-1.3437500000000002,-2.805555555555556,0.4833333333333319,-2.593055555555556,0.9716666666666667,5.1781625,1012.2904166666667,0.6621125,2006,2,Winter
2006-02-11,-1.3381944444444445,-4.261111111111112,1.1388888888888873,-3.820138888888889,0.9254166666666667,8.172091666666667,1019.0004166666666,4.4415875,2006,2,Winter
2006-02-12,-1.2958333333333336,-4.661111111111111,2.2666666666666657,-5.406481481481482,0.8145833333333333,13.165104166666667,1023.0308333333334,10.4328,2006,2,Winter
2006-02-13,-2.424537037037037,-4.966666666666667,1.1388888888888873,-5.0502314814814815,0.7991666666666667,8.093604166666667,1023.25375,10.007491666666667,2006,2,Winter
2006-02-14,-1.0837962962962966,-3.75,1.9722222222222203,-2.432175925925926,0.8595833333333333,5.3834375,1023.7712500000001,6.453416666666667,2006,2,Winter
2006-02-15,-1.7689814814814815,-4.888888888888889,0.5111111111111121,-5.259027777777778,0.92125,11.876433333333333,1019.5629166666666,3.2911083333333333,2006,2,Winter
2006-02-16,1.9944444444444447,-0.4888888888888883,3.405555555555557,-2.5453703703703705,0.9512499999999999,19.274383333333336,1002.6304166666667,2.728279166666667,2006,2,Winter
